,Date,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS
72,2022-12-28,1470.3406,2535.4934,390.0842,1510.1500,2544.4500,391.3000,1524.9500,2549.8000,395.9000,1498.5000,2521.5000,390.4000,1505.1000,2538.0000,394.0000,5029860,3442509,8443917
73,2022-12-29,1477.5455,2534.3477,384.7010,1517.5500,2543.3000,385.9000,1521.3000,2548.8999,390.0000,1501.0000,2525.5000,383.0500,1504.0000,2527.0000,389.0000,4624745,3198493,15627403
74,2022-12-30,1468.4419,2538.2339,386.7447,1508.2000,2547.2000,387.9500,1530.4000,2577.0000,392.2000,1504.0500,2541.1001,387.0000,1528.0000,2545.1001,391.0000,5060544,3364092,9198673
75,2023-01-02,1483.8254,2566.8328,393.5733,1524.0000,2575.8999,394.8000,1526.5000,2579.0000,396.0000,1504.0500,2548.2000,391.0000,1514.0000,2550.0000,392.5000,3801140,2453414,10501357
76,2023-01-03,1482.4138,2548.0493,392.6761,1522.5500,2557.0500,393.9000,1532.6500,2573.0000,398.3500,1515.1000,2547.8000,393.0000,1519.8500,2565.0500,396.0000,4551130,3534596,9431220
77,2023-01-04,1455.3953,2509.6848,384.4019,1494.8000,2518.5500,385.6000,1521.0000,2561.0500,394.8000,1491.1000,2514.0000,385.0000,1521.0000,2557.0000,394.8000,7059590,4275746,16121049
78,2023-01-05,1436.3118,2505.2007,385.6979,1475.2000,2514.0500,386.9000,1505.9000,2536.3999,388.7500,1469.2500,2504.0000,382.5000,1505.9000,2523.5000,387.9000,9868404,6293519,10443908
79,2023-01-06,1410.3157,2527.9700,380.8131,1448.5000,2536.8999,382.0000,1475.0000,2547.9500,388.4000,1446.5000,2518.3000,381.0000,1470.0000,2526.6499,386.1000,6443714,2930338,8715469
80,2023-01-09,1445.3180,2587.6592,388.2400,1484.4500,2596.8000,389.4500,1489.3500,2602.0000,392.7000,1448.2000,2543.3501,385.0000,1448.2000,2545.3000,386.3500,11498717,4948549,14693099
81,2023-01-10,1431.0055,2549.3943,411.6171,1469.7500,2558.3999,412.9000,1483.9000,2606.0000,417.7500,1454.0500,2546.0000,400.0000,1482.0000,2606.0000,400.0000,7158624,3713755,54021379
82,2023-01-11,1432.4659,2517.2578,416.9007,1471.2500,2526.1499,418.2000,1494.0000,2558.0000,420.0000,1464.0000,2521.1001,413.5500,1470.0000,2552.5000,415.7500,6173092,5311657,22224361
83,2023-01-12,1441.5696,2462.9001,410.9691,1480.6000,2471.6001,412.2500,1485.0000,2532.5000,420.5000,1455.0000,2465.0000,410.0500,1481.9500,2524.8501,420.3000,6591385,8163366,12479034
84,2023-01-13,1464.0120,2458.9141,410.2215,1503.6500,2467.6001,411.5000,1519.4000,2472.8999,416.3500,1468.0000,2434.6001,408.0000,1483.5000,2458.3999,413.0000,11610426,9515473,10449630
85,2023-01-16,1485.2859,2435.4968,411.7168,1525.5000,2444.1001,413.0000,1528.0000,2479.6499,414.9000,1502.3000,2427.0000,407.6000,1510.0000,2472.7000,413.5000,6073063,6287407,11462140
86,2023-01-17,1498.9169,2470.0747,414.0096,1539.5000,2478.8000,415.3000,1542.2000,2483.0000,419.4500,1524.0000,2450.6001,412.5000,1527.0000,2458.0000,413.0000,5922644,4961585,12337969
